geo_name,geo_sumlevel,geo_id,pop_2013,pop_2014,pop_2015,pop_2016
"Rensselaer County, NY","county",05000US36083,159565,159600,159900,159959
"Richmond County, NY","county",05000US36085,470223,471522,472481,473324
"Rockland County, NY","county",05000US36087,315069,318186,320688,322642
"St. Lawrence County, NY","county",05000US36089,112097,112015,112011,111529
"Saratoga County, NY","county",05000US36091,221169,222512,223774,224929
"Schenectady County, NY","county",05000US36093,154821,155178,154796,154845
"Schoharie County, NY","county",05000US36095,32404,32153,31913,31667
"Schuyler County, NY","county",05000US36097,18432,18458,18410,18336
"Seneca County, NY","county",05000US36099,35359,35232,35144,35036
"Steuben County, NY","county",05000US36101,98951,98917,98665,98151
"Suffolk County, NY","county",05000US36103,1495803,1500373,1501373,1498130
"Sullivan County, NY","county",05000US36105,77134,76892,76330,75818
"Tioga County, NY","county",05000US36107,50789,50464,50199,49649
"Tompkins County, NY","county",05000US36109,102270,103179,103855,104268
"Ulster County, NY","county",05000US36111,182086,181598,181300,180505
"Warren County, NY","county",05000US36113,65584,65388,65180,64911
"Washington County, NY","county",05000US36115,63237,62910,62700,62465
"Wayne County, NY","county",05000US36117,93224,92887,92416,91874
"Westchester County, NY","county",05000US36119,956283,962319,967315,969229
"Wyoming County, NY","county",05000US36121,41923,41679,41446,41239
"Yates County, NY","county",05000US36123,25293,25281,25187,25106
"Alamance County, NC","county",05000US37001,152472,153713,155258,156372
"Alexander County, NC","county",05000US37003,37071,37175,37158,37211
"Alleghany County, NC","county",05000US37005,11046,10974,10911,10868
"Anson County, NC","county",05000US37007,26569,26309,26135,25883
"Ashe County, NC","county",05000US37009,27180,27173,27114,26992
"Avery County, NC","county",05000US37011,17756,17739,17695,17633
"Beaufort County, NC","county",05000US37013,47575,47587,47561,47513
"Bertie County, NC","county",05000US37015,20879,20677,20518,20324
"Bladen County, NC","county",05000US37017,34969,34915,34720,34454
"Brunswick County, NC","county",05000US37019,110324,112907,115926,119167
"Buncombe County, NC","county",05000US37021,241801,244599,247336,250112
